minP,t,eps,NMI,ARI
3,5,1.5,0.9752,0.9797
10,5,1.5,0.9736,0.9785
3,15,1.0,0.9718,0.9771
15,5,1.5,0.9693,0.9722
20,5,1.5,0.9546,0.9572
5,15,1.0,0.9513,0.9551
5,10,1.0,0.9416,0.9418
3,10,1.0,0.9279,0.9218
3,5,1.0,0.9189,0.9092
5,5,2.0,0.969,0.8971
10,5,2.0,0.969,0.8971
15,5,2.0,0.969,0.8971
3,10,2.0,0.969,0.8971
10,10,2.0,0.969,0.8971
20,10,2.0,0.969,0.8971
3,15,2.0,0.969,0.8971
10,15,2.0,0.969,0.8971
15,15,2.0,0.969,0.8971
20,15,2.0,0.969,0.8971
3,10,1.5,0.9677,0.896
5,10,1.5,0.9677,0.896
15,10,1.5,0.9677,0.896
5,15,1.5,0.9677,0.896
10,15,1.5,0.9677,0.896
15,15,1.5,0.9677,0.896
20,5,2.0,0.9677,0.896
10,10,1.5,0.9652,0.8938
20,15,1.5,0.9652,0.8938
3,5,2.0,0.9652,0.8938
20,10,1.5,0.9646,0.8938
3,15,1.5,0.963,0.8936
5,5,1.5,0.9635,0.8927
5,10,2.0,0.9359,0.8099
15,10,2.0,0.9359,0.8099
5,15,2.0,0.9359,0.8099
15,5,2.5,0.9359,0.8099
10,10,2.5,0.9359,0.8099
3,15,2.5,0.9359,0.8099
5,15,2.5,0.9359,0.8099
20,5,2.5,0.9347,0.8088
10,5,2.5,0.9334,0.8086
5,5,1.0,0.8427,0.751
3,5,3.0,0.9229,0.7351
10,15,1.0,0.8245,0.6736
3,5,2.5,0.8856,0.6691
3,15,0.75,0.8001,0.6419
10,10,1.0,0.7836,0.5859
3,10,0.75,0.7701,0.5748
15,10,2.5,0.8631,0.563
20,15,2.5,0.8631,0.563
5,5,2.5,0.8603,0.561
5,10,2.5,0.8228,0.5183
10,5,3.0,0.8228,0.5183
3,10,2.5,0.7883,0.4096
20,10,2.5,0.7883,0.4096
3,5,0.75,0.7015,0.4044
10,5,1.0,0.7062,0.3934
5,5,3.5,0.695,0.2841
10,15,2.5,0.6955,0.2839
15,15,2.5,0.6955,0.2839
5,5,3.0,0.6955,0.2839
15,5,3.0,0.6955,0.2839
20,5,3.0,0.6955,0.2839
3,10,3.0,0.6955,0.2839
5,10,3.0,0.6955,0.2839
10,10,3.0,0.6955,0.2839
15,10,3.0,0.6955,0.2839
20,10,3.0,0.6955,0.2839
3,15,3.0,0.6955,0.2839
15,15,3.0,0.6955,0.2839
20,15,3.0,0.6955,0.2839
3,10,3.5,0.6421,0.2643
5,15,3.0,0.58,0.1847
10,15,3.0,0.58,0.1847
3,5,3.5,0.58,0.1847
10,5,3.5,0.58,0.1847
20,5,3.5,0.58,0.1847
5,10,3.5,0.58,0.1847
20,10,3.5,0.58,0.1847
3,5,4.0,0.58,0.1847
10,5,4.0,0.58,0.1847
15,5,4.5,0.58,0.1847
5,5,4.5,0.5166,0.1716
5,15,0.75,0.5638,0.1482
15,5,3.5,0.4345,0.1074
10,10,3.5,0.4345,0.1074
15,10,3.5,0.4345,0.1074
3,15,3.5,0.4345,0.1074
5,15,3.5,0.4345,0.1074
10,15,3.5,0.4345,0.1074
15,15,3.5,0.4345,0.1074
20,15,3.5,0.4345,0.1074
5,5,4.0,0.4345,0.1074
15,5,4.0,0.4345,0.1074
20,5,4.0,0.4345,0.1074
3,10,4.0,0.4345,0.1074
5,10,4.0,0.4345,0.1074
10,10,4.0,0.4345,0.1074
15,10,4.0,0.4345,0.1074
20,10,4.0,0.4345,0.1074
3,15,4.0,0.4345,0.1074
5,15,4.0,0.4345,0.1074
10,15,4.0,0.4345,0.1074
15,15,4.0,0.4345,0.1074
20,15,4.0,0.4345,0.1074
20,5,4.5,0.4345,0.1074
5,10,4.5,0.4345,0.1074
10,15,4.5,0.4345,0.1074
5,5,5.0,0.4345,0.1074
20,5,5.0,0.4345,0.1074
5,10,5.0,0.4345,0.1074
15,15,1.0,0.2908,0.0543
3,5,4.5,0.2474,0.0472
10,5,4.5,0.2474,0.0472
3,10,4.5,0.2474,0.0472
10,10,4.5,0.2474,0.0472
15,10,4.5,0.2474,0.0472
20,10,4.5,0.2474,0.0472
3,15,4.5,0.2474,0.0472
5,15,4.5,0.2474,0.0472
15,15,4.5,0.2474,0.0472
20,15,4.5,0.2474,0.0472
3,5,5.0,0.2474,0.0472
10,5,5.0,0.2474,0.0472
15,5,5.0,0.2474,0.0472
3,10,5.0,0.2474,0.0472
10,10,5.0,0.2474,0.0472
20,10,5.0,0.2474,0.0472
3,15,5.0,0.2474,0.0472
5,15,5.0,0.2474,0.0472
10,15,5.0,0.2474,0.0472
15,15,5.0,0.2474,0.0472
5,10,0.75,0.4219,0.0435
5,5,0.75,0.4126,0.0419
15,5,1.0,0.1507,0.0219
10,5,0.75,0.0,0.0
15,5,0.75,0.0,0.0
20,5,0.75,0.0,0.0
10,10,0.75,0.0,0.0
15,10,0.75,0.0,0.0
20,10,0.75,0.0,0.0
10,15,0.75,0.0,0.0
15,15,0.75,0.0,0.0
20,15,0.75,0.0,0.0
20,5,1.0,0.0,0.0
15,10,1.0,0.0,0.0
20,10,1.0,0.0,0.0
20,15,1.0,0.0,0.0
15,10,5.0,0.0,0.0
20,15,5.0,0.0,0.0
