minP,t,eps,NMI,ARI
5,5,0.75,0.0,0.0
10,5,0.75,0.0,0.0
15,5,0.75,0.0,0.0
5,10,0.75,0.0,0.0
10,10,0.75,0.0,0.0
15,10,0.75,0.0,0.0
5,15,0.75,0.0,0.0
10,15,0.75,0.0,0.0
15,15,0.75,0.0,0.0
5,5,1.0,0.0,0.0
10,5,1.0,0.0,0.0
15,5,1.0,0.0,0.0
5,10,1.0,0.0,0.0
10,10,1.0,0.0,0.0
15,10,1.0,0.0,0.0
5,15,1.0,0.0,0.0
10,15,1.0,0.0,0.0
15,15,1.0,0.0,0.0
5,5,1.25,0.0,0.0
10,5,1.25,0.0,0.0
15,5,1.25,0.0,0.0
5,10,1.25,0.0,0.0
10,10,1.25,0.0,0.0
15,10,1.25,0.0,0.0
5,15,1.25,0.0,0.0
10,15,1.25,0.0,0.0
15,15,1.25,0.0,0.0
5,5,1.5,0.0,0.0
10,5,1.5,0.0,0.0
15,5,1.5,0.0,0.0
5,10,1.5,0.0,0.0
10,10,1.5,0.0,0.0
15,10,1.5,0.0,0.0
5,15,1.5,0.0,0.0
10,15,1.5,0.0,0.0
15,15,1.5,0.0,0.0
5,5,2.0,0.0,0.0
10,5,2.0,0.0,0.0
15,5,2.0,0.0,0.0
5,10,2.0,0.0,0.0
10,10,2.0,0.0,0.0
15,10,2.0,0.0,0.0
5,15,2.0,0.0,0.0
10,15,2.0,0.0,0.0
15,15,2.0,0.0,0.0
5,5,3.0,0.0,0.0
10,5,3.0,0.0,0.0
15,5,3.0,0.0,0.0
5,10,3.0,0.0,0.0
10,10,3.0,0.0,0.0
15,10,3.0,0.0,0.0
5,15,3.0,0.0,0.0
10,15,3.0,0.0,0.0
15,15,3.0,0.0,0.0
5,5,4.0,0.0,0.0
10,5,4.0,0.0,0.0
15,5,4.0,0.0,0.0
5,10,4.0,0.0,0.0
10,10,4.0,0.0,0.0
15,10,4.0,0.0,0.0
5,15,4.0,0.0,0.0
10,15,4.0,0.0,0.0
15,15,4.0,0.0,0.0
5,5,5.0,0.0,0.0
10,5,5.0,0.0,0.0
15,5,5.0,0.0,0.0
5,10,5.0,0.0,0.0
10,10,5.0,0.0,0.0
15,10,5.0,0.0,0.0
5,15,5.0,0.0,0.0
10,15,5.0,0.0,0.0
15,15,5.0,0.0,0.0
