minP,t,eps,NMI,ARI
3,15,2.5,0.8275,0.9191
3,10,2.5,0.8222,0.9179
3,5,2.5,0.8204,0.9179
3,10,3.0,0.819,0.9175
5,7,2.5,0.8177,0.9175
5,15,2.5,0.813,0.917
3,10,2.0,0.8129,0.9164
10,15,3.0,0.8106,0.9162
10,5,3.5,0.8106,0.9162
30,7,2.5,0.8141,0.9161
5,10,3.0,0.8118,0.9161
10,10,2.5,0.8099,0.9161
5,10,2.5,0.8097,0.9161
5,5,2.5,0.8109,0.916
10,15,2.5,0.8105,0.916
5,15,2.0,0.8056,0.9158
20,15,2.5,0.8096,0.9157
15,7,2.5,0.8103,0.9155
30,10,2.5,0.8095,0.9154
10,5,3.0,0.801,0.9154
25,10,2.5,0.8084,0.9153
15,15,2.5,0.8051,0.9152
15,5,2.5,0.8069,0.9151
30,15,2.5,0.8054,0.9151
15,15,2.0,0.8074,0.915
20,7,2.5,0.8113,0.9148
15,7,3.0,0.7983,0.914
15,7,2.0,0.8098,0.9139
20,5,2.5,0.81,0.9136
3,5,2.0,0.8098,0.9132
20,10,2.5,0.8033,0.9118
25,15,2.5,0.8002,0.9111
10,5,2.5,0.7984,0.9111
10,10,2.0,0.7946,0.9104
3,15,2.0,0.8065,0.9102
3,15,1.5,0.8054,0.9098
3,7,2.5,0.8027,0.9097
3,7,2.0,0.7951,0.9089
30,15,1.5,0.8128,0.9088
30,10,2.0,0.8107,0.9088
20,10,1.5,0.8127,0.9087
25,15,1.5,0.8127,0.9087
30,15,2.0,0.809,0.9086
20,5,1.5,0.8125,0.9085
25,10,1.5,0.8125,0.9085
30,10,1.5,0.8125,0.9085
10,7,1.5,0.8035,0.9085
30,5,1.5,0.8124,0.9084
30,7,1.5,0.8124,0.9084
25,7,1.5,0.8119,0.9084
25,5,2.0,0.8102,0.9084
30,7,2.0,0.8087,0.9084
3,10,1.5,0.8003,0.9084
30,5,2.5,0.8041,0.908
10,15,2.0,0.7972,0.908
5,7,1.5,0.7953,0.908
10,7,2.0,0.7928,0.908
25,7,2.5,0.7998,0.9078
10,5,2.0,0.7967,0.9078
5,10,1.5,0.7964,0.9077
5,5,1.5,0.7962,0.9077
5,10,2.0,0.7888,0.9077
25,15,2.0,0.8008,0.9076
5,15,1.5,0.7932,0.9076
10,15,1.5,0.801,0.9075
3,5,1.5,0.7998,0.9075
10,7,2.5,0.7942,0.9075
20,15,1.0,0.8111,0.9074
25,15,1.0,0.8111,0.9074
25,7,2.0,0.8019,0.9074
5,7,2.0,0.7879,0.9074
25,10,2.0,0.8003,0.9073
30,7,1.0,0.8111,0.9072
25,10,1.0,0.8109,0.9072
25,5,1.5,0.8102,0.9072
20,15,1.5,0.8038,0.9072
20,5,2.0,0.802,0.9072
20,10,2.0,0.8017,0.9072
10,10,1.5,0.8,0.9072
3,10,1.0,0.7928,0.9072
20,7,2.0,0.8018,0.9071
20,15,2.0,0.8001,0.9071
20,10,1.0,0.8101,0.9069
5,5,2.0,0.7902,0.9069
15,10,2.5,0.7873,0.9068
3,15,1.0,0.7939,0.9067
15,10,2.0,0.79,0.9067
25,7,1.0,0.8103,0.9066
25,10,0.75,0.8098,0.9066
3,7,1.5,0.7902,0.9066
15,5,3.0,0.7829,0.9066
15,5,1.0,0.8102,0.9065
15,15,1.5,0.7913,0.9065
15,7,1.5,0.7975,0.9064
30,5,1.0,0.8091,0.9063
30,15,1.0,0.8091,0.9063
5,15,1.0,0.7906,0.9063
3,15,0.75,0.7914,0.9062
10,10,1.0,0.8041,0.9061
15,10,1.5,0.7967,0.9061
20,7,1.0,0.8082,0.906
15,5,2.0,0.7904,0.9059
15,15,1.0,0.8022,0.9057
25,15,0.75,0.8077,0.9056
20,7,1.5,0.799,0.9056
10,15,1.0,0.7989,0.9056
30,10,0.75,0.8078,0.9055
10,5,1.5,0.7942,0.9055
25,5,2.5,0.7914,0.9053
15,10,1.0,0.8016,0.9051
30,15,0.75,0.8066,0.9049
20,10,0.75,0.8061,0.9049
25,7,0.75,0.8065,0.9048
20,15,0.75,0.8064,0.9047
3,7,1.0,0.7885,0.9047
3,5,1.0,0.7871,0.9046
3,10,0.75,0.7861,0.9045
3,7,0.75,0.7862,0.9043
5,10,1.0,0.7831,0.9042
30,5,2.0,0.8039,0.9041
20,5,1.0,0.8046,0.904
5,7,1.0,0.7857,0.904
5,7,0.75,0.7897,0.9039
5,15,0.75,0.7888,0.9039
5,5,1.0,0.7845,0.9039
25,5,1.0,0.8045,0.9038
20,7,0.75,0.8046,0.9037
15,7,1.0,0.7938,0.9037
10,7,0.75,0.7932,0.9032
3,5,0.75,0.7832,0.9031
20,5,0.75,0.8033,0.9029
15,7,0.75,0.7973,0.9026
15,15,0.75,0.7916,0.9024
30,10,1.0,0.8034,0.9023
15,5,1.5,0.7915,0.9023
