Manufacturer,Model,Efficiency Rating,Noise Rating,Total Score,Relative Performance,Average Efficiency [%],Average Efficiency (20-80W) [%],Efficiency 2% [%],Avg Noise Output [dB(A)],Report Date,Report_links,Report
1st Player,NGDP 1000W,PLATINUM,Standard++,87.0974,91.77,90.361,81.717,71.907,30.73,2023-08-24,['https://www.cybenetics.com/evaluations/psus/2226/'],
1st Player,NGDP 1300W,PLATINUM,Standard+,87.3858,92.07,90.445,81.728,76.316,37.28,2023-10-12,['https://www.cybenetics.com/evaluations/psus/2258/'],
1st Player,NGDP 750W,GOLD,A,81.7653,86.15,88.719,80.845,65.382,22.42,2024-02-19,['https://www.cybenetics.com/evaluations/psus/2360/'],
1st Player,NGDP 850W,PLATINUM,A,83.5959,88.08,89.029,81.284,68.952,23.79,2024-02-14,['https://www.cybenetics.com/evaluations/psus/2355/'],
1st Player,SFX 7.5 750W,PLATINUM,Standard+,77.9929,82.17,89.946,84.604,73.028,36.22,2021-11-26,['https://www.cybenetics.com/evaluations/psus/1942/'],
1st Player,Steampunk 750W,PLATINUM,Standard++,76.2316,80.32,89.685,83.556,70.087,34.23,2019-10-21,['https://www.cybenetics.com/evaluations/psus/884/'],
1st Player,Steampunk 750W (#2),PLATINUM,Standard++,76.5055,80.61,89.551,83.949,69.393,32.00,2020-02-24,['https://www.cybenetics.com/evaluations/psus/1603/'],
1st Player,Steampunk 850W,GOLD,Standard+,77.7529,81.92,88.637,78.732,63.729,37.22,2021-11-24,['https://www.cybenetics.com/evaluations/psus/1941/'],
abee,AP-PLA-1380W,PLATINUM,Standard++,78.3068,82.50,89.121,75.071,-,33.28,2025-01-10,['https://www.cybenetics.com/evaluations/psus/2704/'],
ABKO,CM-1200G-M,PLATINUM,Standard,85.4508,90.03,89.203,81.127,-,40.44,2025-01-09,['https://www.cybenetics.com/evaluations/psus/2702/'],
ABYSM GAMING,Morpheo GX5 1000W,PLATINUM,A-,82.9031,87.35,89.251,79.577,69.023,28.16,2024-05-23,['https://www.cybenetics.com/evaluations/psus/2452/'],
ABYSM GAMING,Morpheo GX5 850W,GOLD,Standard++,83.7794,88.27,88.936,82.104,69.682,32.95,2024-05-28,['https://www.cybenetics.com/evaluations/psus/2457/'],
Aerocool,ACP-650FP7,PLATINUM,A++,82.1458,86.55,90.337,85.797,-,13.45,2018-07-27,['https://www.cybenetics.com/evaluations/psus/149/'],
Aerocool,ACP-750FP7,PLATINUM,A+,79.3591,83.61,90.579,84.256,-,17.22,2018-07-27,['https://www.cybenetics.com/evaluations/psus/150/'],
Aerocool,ACP-850FP7,PLATINUM,A+,80.2923,84.60,90.154,82.782,-,19.55,2018-07-29,['https://www.cybenetics.com/evaluations/psus/151/'],
Aerocool,Xpredator 400W,SILVER,Standard+,61.9190,65.24,85.288,80.062,57.985,35.06,2022-02-09,['https://www.cybenetics.com/evaluations/psus/1974/'],
Antec,Earth Watts Gold Pro 750W,GOLD,A-,75.7638,79.83,88.301,79.096,-,28.65,2018-11-20,['https://www.cybenetics.com/evaluations/psus/223/'],
Antec,HCG1000 Extreme,PLATINUM,A-,86.2386,90.86,89.701,78.926,68.040,28.31,2018-07-13,['https://www.cybenetics.com/evaluations/psus/429/'],
Antec,HCG850 Gold,GOLD,Standard++,82.5712,87.00,88.639,79.576,-,33.35,2018-03-10,['https://www.cybenetics.com/evaluations/psus/320/'],
Antec,HCG850 Gold (#2),GOLD,Standard++,82.2008,86.61,88.842,79.412,-,32.96,2018-04-15,['https://www.cybenetics.com/evaluations/psus/353/'],
Antec,Signature Platinum 1300W,PLATINUM,,86.6399,91.28,89.966,75.095,68.147,47.79,2020-05-21,['https://www.cybenetics.com/evaluations/psus/1657/'],
Antec,Signature Titanium 1000W,TITANIUM,A,88.6849,93.44,92.057,85.117,77.492,23.28,2020-03-03,['https://www.cybenetics.com/evaluations/psus/1615/'],
Apexgaming,AG-850M,GOLD,,70.6240,74.41,87.506,75.754,-,45.88,2017-12-31,['https://www.cybenetics.com/evaluations/psus/302/'],
Apexgaming,AG-850M (#2),GOLD,,68.1893,71.84,87.317,75.575,-,45.97,2018-12-01,['https://www.cybenetics.com/evaluations/psus/317/'],
Aqirys,Magnetar 1000W,GOLD,Standard+,77.6188,81.78,88.278,72.373,60.980,35.43,2024-01-18,['https://www.cybenetics.com/evaluations/psus/2330/'],
Aqirys,Magnetar 850W,GOLD,Standard++,78.1442,82.33,88.758,75.215,70.835,33.80,2024-01-23,['https://www.cybenetics.com/evaluations/psus/2334/'],
Aqirys,Magnetar LE 650W,GOLD,A-,70.8385,74.64,88.728,79.343,48.463,28.65,2024-02-29,['https://www.cybenetics.com/evaluations/psus/2374/'],
Aqirys,Magnetar LE 750W,PLATINUM,A-,74.0643,78.03,89.101,83.563,69.308,29.41,2024-02-26,['https://www.cybenetics.com/evaluations/psus/2369/'],
Aqirys,Magnetar LE 850W,GOLD,Standard++,73.9993,77.97,88.757,83.934,72.597,31.97,2024-02-23,['https://www.cybenetics.com/evaluations/psus/2363/'],
Aqirys,Quasar 1200W,GOLD,Standard+,76.6817,80.79,88.247,73.711,74.419,36.58,2024-02-24,['https://www.cybenetics.com/evaluations/psus/2366/'],
